ID,Name,ProductType,BrandID,OldPrice,CurrentPrice,DiscountPercent,GiftValue,ProductLink
39,Lenovo Tab ,Laptop,5,6690000.0,6390000.0,4.48,,https://www.thegioididong.com/may-tinh-bang/lenovo-tab-m11-4g-8gb-128gb
40,Lenovo Tab ,Laptop,5,,4390000.0,,,https://www.thegioididong.com/may-tinh-bang/lenovo-tab-m9?utm_flashsale=1
41,Lenovo Tab Plus WiFi 8GB/256GB,Laptop,5,7990000.0,6990000.0,12.52,,https://www.thegioididong.com/may-tinh-bang/lenovo-tab-plus-wifi-8gb-256gb
42,Lenovo ThinkBook 14 ,Laptop,5,27390000.0,26990000.0,1.46,990000.0,https://www.thegioididong.com/laptop/lenovo-thinkbook-14-ultra-7-21mr0072vn
43,Lenovo ThinkBook 16 G7 ,Laptop,5,23190000.0,22990000.0,0.86,990000.0,https://www.thegioididong.com/laptop/lenovo-thinkbook-16-g7-ultra-5-21ms007gvn
44,Lenovo ThinkPad E14 Gen 6 ,Laptop,5,28790000.0,27990000.0,2.78,990000.0,https://www.thegioididong.com/laptop/lenovo-thinkpad-e14-ultra-7-21m7004uvn
45,Lenovo ThinkPad T14s ,Laptop,5,45690000.0,44990000.0,1.53,,https://www.thegioididong.com/laptop/lenovo-thinkpad-t14s-i7-21f6007xvn
46,Lenovo Thinkpad X13 ,Laptop,5,45590000.0,44990000.0,1.32,990000.0,https://www.thegioididong.com/laptop/lenovo-thinkpad-x13-ultra-7-21lu004lvn
47,Lenovo Thinkpad X13 ,Laptop,5,34990000.0,33990000.0,2.86,990000.0,https://www.thegioididong.com/laptop/lenovo-thinkpad-x13-ultra-5-21lu004nvn
48,Lenovo V14 ,Laptop,5,19490000.0,18990000.0,2.57,,https://www.thegioididong.com/laptop/lenovo-v14-core-5-83hd0001vn
49,Lenovo V14 G4 ,Laptop,5,19990000.0,18990000.0,5.0,,https://www.thegioididong.com/laptop/lenovo-thinkpad-v14-i7-83a00012vn
50,Lenovo V15 G4 IRU ,Laptop,5,17990000.0,15990000.0,11.12,,https://www.thegioididong.com/laptop/lenovo-v15-g4-iru-i5-83a1000lvn
51,Lenovo V15 G5 IRL ,Laptop,5,19890000.0,18990000.0,4.52,,https://www.thegioididong.com/laptop/lenovo-v15-g5-irl-core-5-83hf0000vn
52,Lenovo Yoga Slim 7 14IMH9 ,Laptop,5,31990000.0,31490000.0,1.56,,https://www.thegioididong.com/laptop/lenovo-yoga-7-14imh9-ultra7-83cv001vvn
53,Masstel Fami 50 4G,Laptop,6,,600000.0,,,https://www.thegioididong.com/dtdd/masstel-fami-50
54,Masstel Fami 60S 4G,Laptop,6,,700000.0,,,https://www.thegioididong.com/dtdd/masstel-fami-60s
55,Masstel IZI 10 4G,Laptop,6,,410000.0,,,https://www.thegioididong.com/dtdd/masstel-izi-10
56,Masstel IZI T6 4G,Laptop,6,,500000.0,,,https://www.thegioididong.com/dtdd/masstel-izi-t6
57,Masstel Lux 10,Laptop,6,,420000.0,,,https://www.thegioididong.com/dtdd/masstel-lux-10
58,Mobell ,Laptop,7,,500000.0,,,https://www.thegioididong.com/dtdd/mobell-m239
59,Mobell ,Laptop,7,,700000.0,,,https://www.thegioididong.com/dtdd/mobell-m539
60,Mobell ,Laptop,7,,550000.0,,,https://www.thegioididong.com/dtdd/mobell-m331
61,Mobell F209 4G,Laptop,7,,620000.0,,,https://www.thegioididong.com/dtdd/mobell-f209
62,Mobell F309 4G,Laptop,7,,760000.0,,,https://www.thegioididong.com/dtdd/mobell-f309
63,Mobell Rock 4 4G,Laptop,7,,790000.0,,,https://www.thegioididong.com/dtdd/mobell-rock-4
64,Nokia 105,Laptop,8,,610000.0,,,https://www.thegioididong.com/dtdd/nokia-105-4g
65,Nokia 105 4G Pro,Laptop,8,,680000.0,,,https://www.thegioididong.com/dtdd/nokia-105-4g-pro
66,Nokia 110 4G Pro,Laptop,8,,750000.0,,,https://www.thegioididong.com/dtdd/nokia-110-4g-pro
67,Nokia 220 4G,Laptop,8,,990000.0,,,https://www.thegioididong.com/dtdd/nokia-220-4g
68,Nokia 3210 4G,Laptop,8,,1590000.0,,,https://www.thegioididong.com/dtdd/nokia-3210-4g
69,Nokia HMD 105 4G,Laptop,8,,650000.0,,,https://www.thegioididong.com/dtdd/nokia-hmd-105-4g
