name,brand,screen,old_price,current_price,gift,total_rating,avg_score,link
iPad Air 6 M2 11 inch 5G,iPad (Apple),"Retina IPS LCD 11""",,28.990.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/ipad-air-m2-11-inch-wifi-cellular-512gb
Samsung Galaxy Tab S9+ 5G,Samsung,"Dynamic AMOLED 2X 12.4""",28.990.000₫,25.990.000₫,,3,5.0,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s9-plus-5g
Samsung Galaxy Tab S9+ WiFi,Samsung,"Dynamic AMOLED 2X 12.4""",25.990.000₫,22.990.000₫,,5,5.0,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s9-plus
Samsung Galaxy Tab S9 5G,Samsung,"Dynamic AMOLED 2X 11""",22.990.000₫,19.990.000₫,,3,5.0,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s9-5g-128gb
iPad Air 5 M1 5G 64GB,iPad (Apple),"Retina IPS LCD 10.9""",19.490.000₫,17.690.000₫,,8,5.0,https://www.thegioididong.com/may-tinh-bang/ipad-air-5-m1-wifi-cellular-64gb
Samsung Galaxy Tab S9 WiFi,Samsung,"Dynamic AMOLED 2X 11""",19.990.000₫,16.990.000₫,,7,5.0,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s9
iPad 10 5G 64GB,iPad (Apple),"Retina IPS LCD 10.9""",15.390.000₫,13.990.000₫,,7,5.0,https://www.thegioididong.com/may-tinh-bang/ipad-10-wifi-cellular-64gb
OPPO Pad 2 WiFi 8GB/256GB,OPPO,"LTPS LCD 11.61""",14.990.000₫,12.990.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/oppo-pad-2
iPad 9 4G,iPad (Apple),"Retina IPS LCD 10.2""",11.790.000₫,10.690.000₫,,45,4.0,https://www.thegioididong.com/may-tinh-bang/ipad-9-wifi-cellular-64gb
Xiaomi Pad 6 WiFi 8GB/256GB,Xiaomi,"IPS LCD 11""",10.490.000₫,9.490.000₫,,22,5.0,https://www.thegioididong.com/may-tinh-bang/xiaomi-pad-6
Samsung Galaxy Tab S6 Lite 2024 4G 4GB/64GB,Samsung,"TFT LCD 10.4""",8.990.000₫,8.490.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s6-lite-2024
OPPO Pad Neo 4G 8GB/128GB,OPPO,"IPS LCD 11.4""",,7.990.000₫,,8,4.5,https://www.thegioididong.com/may-tinh-bang/oppo-pad-neo
Lenovo Tab M11 4G,Lenovo,"IPS LCD 10.95""",,6.190.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/lenovo-tab-m11-4g
Lenovo Tab M11 WiFi 4GB/128GB,Lenovo,"IPS LCD 10.95""",,5.790.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/lenovo-tab-m11-wifi
Xiaomi Redmi Pad SE WiFi 8GB/256GB,Xiaomi,"IPS LCD 11""",5.790.000₫,5.640.000₫,,17,4.0,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad-se-8gb
OPPO Pad Air WiFi 4GB/128GB,OPPO,"IPS LCD 10.36""",6.490.000₫,5.490.000₫,,11,5.0,https://www.thegioididong.com/may-tinh-bang/oppo-pad-air-128gb
OPPO Pad Air WiFi 4GB/64GB,OPPO,"IPS LCD 10.36""",5.490.000₫,4.890.000₫,,63,4.0,https://www.thegioididong.com/may-tinh-bang/oppo-pad-air
Xiaomi Redmi Pad SE WiFi 6GB/128GB,Xiaomi,"IPS LCD 11""",5.490.000₫,4.840.000₫,,37,4.0,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad-se
TCL Tab 11 WiFi 4GB/128GB,TCL,"IPS LCD 10.95""",4.290.000₫,3.490.000₫,,10,5.0,https://www.thegioididong.com/may-tinh-bang/tcl-tab-11
"Masstel Tab 10.1"" Pro 4G 4GB/64GB",Masstel,"IPS LCD 10.1""",3.690.000₫,2.790.000₫,,18,4.0,https://www.thegioididong.com/may-tinh-bang/masstel-tab-101-pro
