name,brand,ram,ssd,old_price,current_price,gift,total_rating,avg_score,link
Dell Precision 15 3581 i7 13800H (71024677),Dell,RAM 32 GB,SSD 1 TB,57.290.000₫,52.990.000₫,Quà100.000₫,17,4.0,https://www.thegioididong.com/laptop/dell-precision-15-3581-i7-71024677
HP Envy 16 h0205TX i9 12900H (7C0T2PA),HP,RAM 32 GB,SSD 512 GB,65.390.000₫,50.490.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-envy-16-h0205tx-i9-7c0t2pa
MacBook Pro 14 inch M3 Pro,MacBook,RAM 18 GB,SSD 512 GB,,49.990.000₫,Quà500.000₫,4,3.0,https://www.thegioididong.com/laptop/apple-macbook-pro-14-inch-m3-pro-2023
Lenovo Gaming Legion Pro 5 16IRX9 i9 14900HX (83DF0046VN),Lenovo,RAM 32 GB,SSD 1 TB,56.990.000₫,49.990.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/lenovo-legion-pro-5-16irx9-i9-83df0046vn
Dell Precision 14 3480 i7 12800H (71024682),Dell,RAM 32 GB,SSD 1 TB,52.290.000₫,47.490.000₫,Quà100.000₫,0,0.0,https://www.thegioididong.com/laptop/dell-precision-14-3480-i7-71024682
Lenovo Gaming Legion Pro 5 16IRX9 i9 14900HX (83DF0047VN),Lenovo,RAM 32 GB,SSD 1 TB,49.990.000₫,45.990.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/lenovo-legion-pro-5-16irx9-i9-83df0047vn
MacBook Pro 14 inch M3,MacBook,RAM 16 GB,SSD 512 GB,,44.990.000₫,Quà500.000₫,0,0.0,https://www.thegioididong.com/laptop/macbook-pro-14-inch-m3-2023-16gb
Lenovo Legion 5 16IRX9 i7 14650HX (83DG0051VN),Lenovo,RAM 16 GB,SSD 1 TB,45.990.000₫,41.490.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/lenovo-legion-5-16irx9-i7-83dg0051vn
MacBook Air 15 inch M3,MacBook,RAM 16 GB,SSD 512 GB,,42.990.000₫,Quà500.000₫,0,0.0,https://www.thegioididong.com/laptop/macbook-air-15-inch-m3-2024-16gb-512gb
MSI Creator M16 HX C14VFG i7 14700HX (040VN),MSI,RAM 32 GB,SSD 1 TB,45.990.000₫,42.490.000₫,Quà990.000₫,0,0.0,https://www.thegioididong.com/laptop/msi-creator-m16-hx-c14vfg-i7-040vn
HP Elitebook X360 1040 G9 i7 1255U (6Z982PA),HP,RAM 16 GB,SSD 512 GB,49.990.000₫,38.190.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-elitebook-x360-1040-g9-i7-6z982pa?utm_flashsale=1
HP Elitebook Dragonfly G3 i7 1255U (6Z980PA),HP,RAM 16 GB,SSD 1 TB,52.590.000₫,37.990.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-elitebook-dragonfly-g3-i7-6z980pa
MacBook Air 15 inch M3,MacBook,RAM 16 GB,SSD 256 GB,,37.990.000₫,Quà500.000₫,0,0.0,https://www.thegioididong.com/laptop/macbook-air-15-inch-m3-2024-16gb-256gb
HP Omen 16 n0087AX R7 6800H (7C0T7PA),HP,RAM 16 GB,SSD 1 TB,50.890.000₫,36.890.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-omen-16-n0087ax-r7-7c0t7pa
