name,brand,screen,old_price,current_price,gift,total_rating,avg_score,link
Samsung Galaxy S24 Ultra 5G,Samsung,"Quad HD+ (2K+) 6.8""",33.990.000₫,29.990.000₫,,0,0.0,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-ultra-5g
Xiaomi Redmi A3,Xiaomi,"HD+ 6.71""",,2.490.000₫,Quà100.000₫,0,0.0,https://www.thegioididong.com/dtdd/xiaomi-redmi-a3?utm_flashsale=1
vivo Y100,vivo,"Full HD+ 6.67""",7.690.000₫,6.490.000₫,,0,0.0,https://www.thegioididong.com/dtdd/vivo-y100
vivo Y03,vivo,"HD+ 6.56""",,3.290.000₫,,0,0.0,https://www.thegioididong.com/dtdd/vivo-y03
Samsung Galaxy M55 5G,Samsung,"Full HD+ 6.7""",11.190.000₫,10.190.000₫,,0,0.0,https://www.thegioididong.com/dtdd/samsung-galaxy-m55-5g-12gb-256gb
Samsung Galaxy A06,Samsung,"HD+ 6.7""",,3.190.000₫,Quà550.000₫,0,0.0,https://www.thegioididong.com/dtdd/samsung-galaxy-a06-4gb-64gb
OPPO Reno12 5G,OPPO,"Full HD+ 6.7""",,12.990.000₫,Quà500.000₫,0,0.0,https://www.thegioididong.com/dtdd/oppo-reno12-5g-12gb-256gb
OPPO Reno12 F 5G,OPPO,"Full HD+ 6.67""",,9.990.000₫,Quà300.000₫,0,0.0,https://www.thegioididong.com/dtdd/oppo-reno12-f-5g-12gb-256gb
OPPO Reno12 5G 12GB/256GB Hồng,OPPO,"Full HD+ 6.7""",,12.990.000₫,Quà500.000₫,0,0.0,https://www.thegioididong.com/dtdd/oppo-reno12-5g-12gb-256gb-hong
Samsung Galaxy S24 5G,Samsung,"Full HD+ 6.2""",22.990.000₫,17.990.000₫,,0,0.0,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-256gb-5g
Samsung Galaxy S24+ 5G,Samsung,"Quad HD+ (2K+) 6.7""",26.990.000₫,23.990.000₫,,0,0.0,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-plus-5g
realme C67,realme,"Full HD+ 6.72""",5.290.000₫,4.390.000₫,,0,0.0,https://www.thegioididong.com/dtdd/realme-c67
realme C53 8GB/256GB,realme,"HD+ 6.74""",4.790.000₫,3.850.000₫,,0,0.0,https://www.thegioididong.com/dtdd/realme-c53-8gb
OPPO A38,OPPO,"HD+ 6.56""",,4.490.000₫,Quà100.000₫,0,0.0,https://www.thegioididong.com/dtdd/oppo-a38-6gb
vivo Y36 8GB/256GB,vivo,"Full HD+ 6.64""",6.190.000₫,5.890.000₫,,0,0.0,https://www.thegioididong.com/dtdd/vivo-y36
OPPO Reno11 Pro 5G 12GB/512GB,OPPO,"Full HD+ 6.7""",16.990.000₫,11.990.000₫,,0,0.0,https://www.thegioididong.com/dtdd/oppo-reno11-pro?utm_flashsale=1
Samsung Galaxy A15,Samsung,"Full HD+ 6.5""",5.590.000₫,4.990.000₫,,0,0.0,https://www.thegioididong.com/dtdd/samsung-galaxy-a15-256gb
Samsung Galaxy A05s,Samsung,"Full HD+ 6.7""",4.490.000₫,4.090.000₫,,0,0.0,https://www.thegioididong.com/dtdd/samsung-galaxy-a05s-6gb
Samsung Galaxy A15 5G 8GB/256GB,Samsung,"Full HD+ 6.5""",6.290.000₫,5.390.000₫,,0,0.0,https://www.thegioididong.com/dtdd/samsung-galaxy-a15-5g
Samsung Galaxy A25 5G,Samsung,"Full HD+ 6.5""",6.990.000₫,6.490.000₫,,0,0.0,https://www.thegioididong.com/dtdd/samsung-galaxy-a25-8gb
Xiaomi Redmi Note 13 Pro 5G,Xiaomi,"1.5K 6.67""",9.490.000₫,8.490.000₫,,0,0.0,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13-pro-5g
Samsung Galaxy S23 Ultra 5G 8GB/256GB,Samsung,"Quad HD+ (2K+) 6.8""",24.990.000₫,20.990.000₫,,0,0.0,https://www.thegioididong.com/dtdd/samsung-galaxy-s23-ultra?utm_flashsale=1
OPPO Reno10 Pro+ 5G 12GB/256GB,OPPO,"1.5K+ 6.74""",,19.990.000₫,,0,0.0,https://www.thegioididong.com/dtdd/oppo-reno10-pro-plus
Xiaomi 14 5G,Xiaomi,"1.5K 6.36""",24.490.000₫,21.490.000₫,,0,0.0,https://www.thegioididong.com/dtdd/xiaomi-14
Benco 4G G3Mẫu mới,Benco,"QQVGA 1.77""",,380.000₫,,0,0.0,https://www.thegioididong.com/dtdd/benco-4g-g3
Viettel Sumo 4G T2Mẫu mới,Viettel,"QVGA 2.4""",,550.000₫,,0,0.0,https://www.thegioididong.com/dtdd/viettel-sumo-4g-t2
Masstel Fami 50 4G,Masstel,"QQVGA 2""",,600.000₫,,0,0.0,https://www.thegioididong.com/dtdd/masstel-fami-50
Masstel IZI 10 4G,Masstel,"QQVGA 1.77""",,410.000₫,,0,0.0,https://www.thegioididong.com/dtdd/masstel-izi-10
Masstel IZI T6 4G,Masstel,"QVGA 2.4""",,500.000₫,,0,0.0,https://www.thegioididong.com/dtdd/masstel-izi-t6
Masstel Lux 10,Masstel,"QVGA 2.4""",,420.000₫,,0,0.0,https://www.thegioididong.com/dtdd/masstel-lux-10
OPPO A60,OPPO,"HD+ 6.67""",,5.490.000₫,Quà200.000₫,0,0.0,https://www.thegioididong.com/dtdd/oppo-a60-128gb
Samsung Galaxy A16Mẫu mới,Samsung,"Full HD+ 6.7""",,5.890.000₫,Quà550.000₫,0,0.0,https://www.thegioididong.com/dtdd/samsung-galaxy-a16-8gb-128gb
iPhone 13,iPhone (Apple),"Super Retina XDR 6.1""",17.790.000₫,13.590.000₫,,0,0.0,https://www.thegioididong.com/dtdd/iphone-13
Samsung Galaxy A16 5GMẫu mới,Samsung,"Full HD+ 6.7""",,6.990.000₫,Quà550.000₫,0,0.0,https://www.thegioididong.com/dtdd/samsung-galaxy-a16-5g
Mobell M239,Mobell,"QQVGA 1.77""",,500.000₫,,0,0.0,https://www.thegioididong.com/dtdd/mobell-m239
Nokia 105 4G Pro,Nokia,"QQVGA 1.77""",,680.000₫,,0,0.0,https://www.thegioididong.com/dtdd/nokia-105-4g-pro
Masstel Fami 60S 4G,Masstel,"QVGA 2""",,700.000₫,,0,0.0,https://www.thegioididong.com/dtdd/masstel-fami-60s
vivo Y19sMẫu mới,vivo,"HD+ 6.68 """,4.290.000₫,4.190.000₫,,0,0.0,https://www.thegioididong.com/dtdd/vivo-y19s-6gb-128gb
realme C65s,realme,"HD+ 6.745 """,,4.290.000₫,Quà200.000₫,0,0.0,https://www.thegioididong.com/dtdd/realme-c65s
Tecno Spark GO 1 3GB/64GBMẫu mới,Tecno,"HD+ 6.67""",2.190.000₫,1.990.000₫,,0,0.0,https://www.thegioididong.com/dtdd/tecno-spark-go-1
Nokia 220 4G,Nokia,"QVGA 2.8""",,990.000₫,,0,0.0,https://www.thegioididong.com/dtdd/nokia-220-4g
Nokia 110 4G Pro,Nokia,"QQVGA 1.77""",,750.000₫,,0,0.0,https://www.thegioididong.com/dtdd/nokia-110-4g-pro
Mobell F209 4G,Mobell,"QVGA 2""",,620.000₫,,0,0.0,https://www.thegioididong.com/dtdd/mobell-f209
TCL 406s 4GB/64GB,TCL,"HD+ 6.6""",,2.190.000₫,,0,0.0,https://www.thegioididong.com/dtdd/tcl-406s
HONOR X5 Plus 4GB/64GB,HONOR,"HD+ 6.56""",,2.490.000₫,,0,0.0,https://www.thegioididong.com/dtdd/honor-x5-plus
Nokia HMD 105 4G,Nokia,"QQVGA 2.4""",,650.000₫,,0,0.0,https://www.thegioididong.com/dtdd/nokia-hmd-105-4g
vivo Y18,vivo,"HD+ 6.56""",,3.990.000₫,Quà200.000₫,0,0.0,https://www.thegioididong.com/dtdd/vivo-y18-4gb-128gb
