name,brand,screen,old_price,current_price,gift,total_rating,avg_score,link
realme C53,realme,"6.74"" HD+",4.290.000₫,4.090.000₫,,556,4.0,https://www.thegioididong.com/dtdd/realme-c53
iPhone 14 Pro Max,iPhone (Apple),"6.7"" Super Retina XDR",29.490.000₫,26.990.000₫,,446,4.0,https://www.thegioididong.com/dtdd/iphone-14-pro-max
OPPO A38,OPPO,"6.56"" HD+",,4.490.000₫,Quà200.000₫,22,4.0,https://www.thegioididong.com/dtdd/oppo-a38-6gb
vivo Y17s,vivo,"6.56"" HD+",,3.990.000₫,,38,4.0,https://www.thegioididong.com/dtdd/vivo-y17s
OPPO Reno11 Pro 5G 12GB/512GB,OPPO,"6.7"" Full HD+",,16.990.000₫,Quà500.000₫,7,5.0,https://www.thegioididong.com/dtdd/oppo-reno11-pro
Samsung Galaxy A34 5G 8GB/256GB,Samsung,"6.6"" Full HD+",9.490.000₫,8.290.000₫,,146,4.0,https://www.thegioididong.com/dtdd/samsung-galaxy-a34
Samsung Galaxy A25 5G,Samsung,"6.5"" Full HD+",6.990.000₫,6.690.000₫,,28,3.5,https://www.thegioididong.com/dtdd/samsung-galaxy-a25-8gb
Samsung Galaxy A15 5G 8GB/256GB,Samsung,"6.5"" Full HD+",6.290.000₫,5.690.000₫,,48,3.0,https://www.thegioididong.com/dtdd/samsung-galaxy-a15-5g
Samsung Galaxy A15,Samsung,"6.5"" Full HD+",5.590.000₫,5.190.000₫,,53,3.5,https://www.thegioididong.com/dtdd/samsung-galaxy-a15-256gb
Samsung Galaxy A24,Samsung,"6.5"" Full HD+",5.890.000₫,5.090.000₫,,81,4.0,https://www.thegioididong.com/dtdd/samsung-galaxy-a24
Samsung Galaxy A05s,Samsung,"6.7"" Full HD+",4.490.000₫,4.090.000₫,,57,3.0,https://www.thegioididong.com/dtdd/samsung-galaxy-a05s-6gb
Samsung Galaxy A05,Samsung,"6.7"" HD+",3.490.000₫,3.290.000₫,,92,3.0,https://www.thegioididong.com/dtdd/samsung-galaxy-a05
OPPO Reno10 5G 8GB/256GB,OPPO,"6.7"" Full HD+",10.990.000₫,8.490.000₫,,80,4.0,https://www.thegioididong.com/dtdd/oppo-reno10
Xiaomi Redmi Note 13 Pro 5G,Xiaomi,"6.67"" 1.5K",9.490.000₫,8.890.000₫,,91,3.5,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13-pro-5g
OPPO Reno10 Pro 5G 12GB/256GB,OPPO,"6.7"" Full HD+",13.990.000₫,10.990.000₫,,32,4.0,https://www.thegioididong.com/dtdd/oppo-reno10-pro
OPPO Reno10 Pro+ 5G 12GB/256GB,OPPO,"6.74"" 1.5K+",19.990.000₫,15.990.000₫,,9,4.0,https://www.thegioididong.com/dtdd/oppo-reno10-pro-plus
Xiaomi 14 5G,Xiaomi,"6.36"" 1.5K",24.490.000₫,21.490.000₫,,16,4.0,https://www.thegioididong.com/dtdd/xiaomi-14
OPPO Reno8 T 8GB/256GB,OPPO,"6.4"" Full HD+",8.490.000₫,6.090.000₫,,88,4.0,https://www.thegioididong.com/dtdd/oppo-reno8-t
Masstel Fami 50 4G,Masstel,"2"" QQVGA",,600.000₫,,0,0.0,https://www.thegioididong.com/dtdd/masstel-fami-50
Masstel IZI T6 4G,Masstel,"2.4"" QVGA",,500.000₫,,7,5.0,https://www.thegioididong.com/dtdd/masstel-izi-t6
Masstel IZI 10 4G,Masstel,"1.77"" QQVGA",,390.000₫,,254,4.0,https://www.thegioididong.com/dtdd/masstel-izi-10
Masstel FAMI 60 4G,Masstel,"2"" QVGA",,600.000₫,,152,4.0,https://www.thegioididong.com/dtdd/masstel-fami-60
Masstel Lux 10,Masstel,"2.4"" QVGA",,420.000₫,,100,4.0,https://www.thegioididong.com/dtdd/masstel-lux-10
realme C51,realme,"6.74"" HD+",,3.290.000₫,,26,4.0,https://www.thegioididong.com/dtdd/realme-c51
Samsung Galaxy Z Fold Mới 3,Samsung,,,54.990.000₫,,0,0.0,https://www.thegioididong.com/dtdd/samsung-galaxy-z-fold6-5g-1tb
OPPO Find N3 5G 16GB/512GB,OPPO,"Chính 7.82"" & Phụ 6.31"" Quad HD+ (2K+)",44.990.000₫,41.990.000₫,,0,0.0,https://www.thegioididong.com/dtdd/oppo-find-n3
Xiaomi 14 Ultra 16GB/512GB,Xiaomi,"6.73"" Quad HD+ (2K+)",32.990.000₫,28.990.000₫,,3,5.0,https://www.thegioididong.com/dtdd/xiaomi-14-ultra
Samsung Galaxy Z Fold5 5G 12GB/256GB,Samsung,"Chính 7.6"" & Phụ 6.2"" Quad HD+ (2K+)",40.990.000₫,27.990.000₫,,19,4.0,https://www.thegioididong.com/dtdd/samsung-galaxy-z-fold5
OPPO Find N3 Flip 5G,OPPO,"Chính 6.8"" & Phụ 3.26"" Full HD+",,22.990.000₫,,6,5.0,https://www.thegioididong.com/dtdd/oppo-find-n3-flip-hong
iPhone 14 Plus,iPhone (Apple),"6.7"" Super Retina XDR",22.290.000₫,19.990.000₫,,118,4.5,https://www.thegioididong.com/dtdd/iphone-14-plus
iPhone 14,iPhone (Apple),"6.1"" Super Retina XDR",19.090.000₫,17.690.000₫,,130,4.0,https://www.thegioididong.com/dtdd/iphone-14
Samsung Galaxy Z Flip5 5G,Samsung,"Chính 6.7"" & Phụ 3.4"" Full HD+",25.990.000₫,15.990.000₫,,40,4.0,https://www.thegioididong.com/dtdd/samsung-galaxy-z-flip5
Samsung Galaxy S23 FE 5G 8GB/256GB,Samsung,"6.4"" Full HD+",16.890.000₫,14.890.000₫,,0,0.0,https://www.thegioididong.com/dtdd/samsung-galaxy-s23-fe-5g-256gb
vivo V30 5G 12GB/512GB,vivo,"6.78"" 1.5K",,13.990.000₫,,5,4.0,https://www.thegioididong.com/dtdd/vivo-v30
realme 11 Pro+ 5G 12GB/512GB,realme,"6.7"" Full HD+",14.990.000₫,10.990.000₫,,10,4.0,https://www.thegioididong.com/dtdd/realme-11-pro-plus-5g
Xiaomi 13T 5G 8GB/256GB,Xiaomi,"6.67"" 1.5K",,10.990.000₫,,121,4.0,https://www.thegioididong.com/dtdd/xiaomi-13t
vivo V29e 5G 12GB/256GB,vivo,"6.67"" Full HD+",9.990.000₫,9.490.000₫,,16,4.0,https://www.thegioididong.com/dtdd/vivo-v29e-5g
vivo V30e 5G,vivo,"6.78"" Full HD+",,10.490.000₫,,0,0.0,https://www.thegioididong.com/dtdd/vivo-v30e-12gb
Xiaomi Redmi Note 13 Pro+ 5G 8GB/256GB,Xiaomi,"6.67"" 1.5K",10.990.000₫,9.290.000₫,,44,4.0,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13-pro-plus
OPPO A79 5G 8GB/256GB,OPPO,"6.72"" Full HD+",,7.490.000₫,,24,4.0,https://www.thegioididong.com/dtdd/oppo-a79-5g
OPPO A98 5G 8GB/256GB,OPPO,"6.72"" Full HD+",8.990.000₫,6.990.000₫,,250,4.0,https://www.thegioididong.com/dtdd/oppo-a98-5g
OPPO A78 8GB/256GB,OPPO,"6.43"" Full HD+",,6.990.000₫,,107,4.0,https://www.thegioididong.com/dtdd/oppo-a78
HONOR X8b 8GB/512GB,HONOR,"6.7"" Full HD+",7.690.000₫,6.690.000₫,Quà990.000₫,18,5.0,https://www.thegioididong.com/dtdd/honor-x8b
OPPO A60,OPPO,"6.67"" HD+",,5.490.000₫,Quà100.000₫,9,4.0,https://www.thegioididong.com/dtdd/oppo-a60-128gb
HONOR 90 Lite 8GB/256GB,HONOR,"6.7"" Full HD+",6.490.000₫,5.490.000₫,,0,0.0,https://www.thegioididong.com/dtdd/honor-90-lite
HONOR X7b 8GB/256GB,HONOR,"6.8"" Full HD+",5.290.000₫,4.990.000₫,,3,5.0,https://www.thegioididong.com/dtdd/honor-x7b
Samsung Galaxy M15 5G,Samsung,"6.5"" Full HD+",4.690.000₫,4.590.000₫,,0,0.0,https://www.thegioididong.com/dtdd/samsung-galaxy-m15-5g-4gb
vivo Y18,vivo,"6.56"" HD+",3.990.000₫,3.790.000₫,,0,0.0,https://www.thegioididong.com/dtdd/vivo-y18-4gb-128gb
vivo Y18S 6GB/128GB,vivo,"6.56"" HD+",4.190.000₫,3.990.000₫,,0,0.0,https://www.thegioididong.com/dtdd/vivo-y18s
Xiaomi POCO M6 6GB/128GB,Xiaomi,"6.79"" Full HD+",4.290.000₫,3.890.000₫,,0,0.0,https://www.thegioididong.com/dtdd/xiaomi-poco-m6
TCL 40 NXTPAPER 8GB/256GB,TCL,"6.78"" Full HD+",3.990.000₫,3.840.000₫,,0,0.0,https://www.thegioididong.com/dtdd/tcl-40-nxtpaper
vivo Y02s 32GB,vivo,"HD+ 6.51""",,3.490.000₫,,93,4.0,https://www.thegioididong.com/dtdd/vivo-y02s-32gb
Tecno Spark 20C 8GB/128GB,Tecno,"6.56"" HD+",,3.190.000₫,,0,0.0,https://www.thegioididong.com/dtdd/tecno-spark-20c
OPPO A17K 3GB/64GB,OPPO,"6.56"" HD+",,2.790.000₫,,165,4.0,https://www.thegioididong.com/dtdd/oppo-a17k
vivo Y02T 4GB/64GB,vivo,"6.51"" HD+",,2.790.000₫,,66,4.0,https://www.thegioididong.com/dtdd/vivo-y02t
